0.000000,0.000000
0.005000,0.062500
0.010000,0.184373
0.014999,0.362608
0.019999,0.594307
0.024997,0.876678
0.029996,1.207035
0.034993,1.582794
0.039989,2.001466
0.044985,2.460659
0.049979,2.958071
0.054972,3.491488
0.059964,4.058782
0.064954,4.657907
0.069943,5.286897
0.074930,5.943862
0.079915,6.626987
0.084898,7.334527
0.089879,8.064810
0.094857,8.816227
0.099833,9.587236
0.104807,10.376357
0.109778,11.182168
0.114747,12.003309
0.119712,12.838472
0.124675,13.686407
0.129634,14.545914
0.134590,15.415843
0.139543,16.295095
0.144492,17.182616
0.149438,18.077398
0.154380,18.978476
0.159318,19.884928
0.164252,20.795872
0.169182,21.710466
0.174108,22.627906
0.179030,23.547423
0.183947,24.468283
0.188859,25.389787
0.193767,26.311270
0.198669,27.232094
0.203567,28.151656
0.208460,29.069378
0.213347,29.984714
0.218230,30.897142
0.223106,31.806168
0.227978,32.711321
0.232843,33.612156
0.237703,34.508250
0.242556,35.399203
0.247404,36.284636
0.252245,37.164191
0.257081,38.037529
0.261909,38.904332
0.266731,39.764299
0.271547,40.617146
0.276356,41.462606
0.281157,42.300431
0.285952,43.130385
0.290740,43.952248
0.295520,44.765817
0.300293,45.570899
0.305059,46.367316
0.309816,47.154904
0.314567,47.933509
0.319309,48.702989
0.324043,49.463215
0.328769,50.214068
0.333487,50.955437
0.338197,51.687224
0.342898,52.409338
0.347590,53.121699
0.352274,53.824235
0.356949,54.516881
0.361615,55.199581
0.366273,55.872287
0.370920,56.534957
0.375559,57.187557
0.380188,57.830058
0.384808,58.462440
0.389418,59.084685
0.394019,59.696784
0.398609,60.298733
0.403190,60.890531
0.407760,61.472184
0.412321,62.043702
0.416871,62.605099
0.421410,63.156394
0.425939,63.697609
0.430458,64.228772
0.434966,64.749910
0.439462,65.261059
0.443948,65.762253
0.448423,66.253534
0.452886,66.734942
0.457338,67.206524
0.461779,67.668327
0.466208,68.120400
0.470626,68.562795
0.475032,68.995568
0.479426,69.418774
0.483807,69.832471
0.488177,70.236720
0.492535,70.631580
0.496880,71.017116
0.501213,71.393391
0.505533,71.760471
0.509841,72.118422
0.514136,72.467312
0.518418,72.807210
0.522687,73.138185
0.526943,73.460308
0.531186,73.773649
0.535416,74.078281
0.539632,74.374276
0.543835,74.661706
0.548024,74.940645
0.552199,75.211167
0.556361,75.473346
0.560509,75.727255
0.564642,75.972969
0.568762,76.210563
0.572867,76.440111
0.576959,76.661689
0.581035,76.875371
0.585097,77.081231
0.589145,77.279345
0.593178,77.469787
0.597195,77.652632
0.601198,77.827953
0.605186,77.995824
0.609159,78.156320
0.613117,78.309514
0.617059,78.455479
0.620986,78.594288
0.624897,78.726014
0.628793,78.850728
0.632673,78.968503
0.636537,79.079409
0.640385,79.183518
0.644218,79.280900
0.648034,79.371625
0.651834,79.455762
0.655617,79.533381
0.659385,79.604549
0.663135,79.669336
0.666870,79.727808
0.670587,79.780031
0.674288,79.826074
0.677972,79.866000
0.681639,79.899876
0.685289,79.927765
0.688921,79.949732
0.692537,79.965841
0.696135,79.976153
0.699716,79.980732
0.703279,79.979638
0.706825,79.972933
0.710353,79.960677
0.713864,79.942930
0.717356,79.919751
0.720831,79.891199
0.724287,79.857331
0.727726,79.818205
0.731146,79.773877
0.734548,79.724403
0.737931,79.669840
0.741297,79.610241
0.744643,79.545661
0.747971,79.476153
0.751280,79.401771
0.754571,79.322567
0.757843,79.238593
0.761095,79.149899
0.764329,79.056537
0.767544,78.958556
0.770739,78.856007
0.773915,78.748937
0.777072,78.637395
0.780209,78.521428
0.783327,78.401085
0.786425,78.276411
0.789504,78.147452
0.792563,78.014254
0.795602,77.876862
0.798621,77.735319
0.801620,77.589671
0.804599,77.439959
0.807558,77.286227
0.810497,77.128518
0.813416,76.966872
0.816314,76.801331
0.819192,76.631935
0.822049,76.458726
0.824886,76.281742
